Codice	Denominazione	Chiave	Comune	Zona	Ente propr.
000219	VIA CAPRI	CAPRI                         	1		
000221	VIA CARACCIOLO	CARACCIOLO                    	1		
000225	VIA CARBONIA	CARBONIA                      	1		
000227	VIA CARCANO	CARCANO                       	1		
000231	VIA CARDUCCI GIOSUE	CARDUCCI GIOSUE               	1		
000237	VIA CARLUCCI LUCA	CARLUCCI LUCA                 	1		
000239	VIA CARPENTINO	CARPENTINO                    	1		
000238	VIA CARPENTINO ROTATORIA	ROTATORIA CARPENTINO		1	CO
001480	VIA CARRETTA	CARRETTA	1		CO
000241	VIA CARSO	CARSO                         	1		
000243	VIA CARVELLA'	CARVELLA'                     	1		
000245	VIA CASANOVA P.	CASANOVA P.                   	1		
000247	VIA CASERTA	CASERTA                       	1		
000251	VIA CASO PASQUALE	CASO PASQUALE                 	1		
000253	VIA CASSANO	CASSANO                       	1		
000258	VIA CASSANO FRONTE PORTA AUREA	CASSANO	ALTAMURA	1	CO
000256	VIA CASSINO	CASSINO                       	1		
000252	VIA CASTEL DEL MONTE	CASTEL DEL MONTE              	1		
000255	VIA CASTELFIDARDO	CASTELFIDARDO                 	1		
000267	VIA CASTELLI GIAMB.	CASTELLI GIAMB.               	1		
000257	VIA CASTELLI NICOLO'	CASTELLI NICOLO'              	1		
000261	VIA CASTELLO	CASTELLO                      	1		
000263	VIA CATALANI	CATALANI                      	1		
000265	VIA CATANIA	CATANIA                       	1		
000268	VIA CATANZARO	CATANZARO                     	1		
000271	VIA CATTANEO	CATTANEO                      	1		
000273	VIA CATTARO	CATTARO                       	1		
000269	VIA CATULLO	CATULLO                       	1		
000275	VIA CAVALLOTTI F	CAVALLOTTI F                  	1		
000277	VIA CAVOUR	CAVOUR                        	1		
000280	VIA CEGLIA GIANGRAZIO	CEGLIA  GIANGRAZIO	ALTAMURA	1	CO
000281	VIA CELLINI B	CELLINI B                     	1		
000282	VIA CENTONZE	CENTONZE                      	1		
000283	VIA CERASO	CERASO                        	1		
000285	VIA CERIGNOLA	CERIGNOLA                     	1		
000287	VIA CERVARO	CERVARO                       	1		
000289	VIA CERVIGNANO	CERVIGNANO                    	1		
000291	VIA CERVINO	CERVINO                       	1		
000293	VIA CESENA	CESENA                        	1		
000295	VIA CHERSO	CHERSO                        	1		
000297	VIA CHERUBINI	CHERUBINI                     	1		
