Articolo	Comma	Codice	Descrizione	Sanzione 60gg.	Sanz. sconto 30%	Punti patente	Codice sanz. acc.	Sanzione Accessoria 1	Data Istat	Data inizio validità effettiva	Data inizio validità	Data fine validità	Sosta Mov.	Annotazioni	Sosta disco	Sosta ticket	Transito ztl	Sosp. patente breve	Magg. notte	Utilizzabile dagli operatori abilitati
9	9	00906	OBBLIGHI DIVIETI E LIMITAZ.APPOSTE PER MANIFESTAZ.	87,00	60,90	0	0		01/01/2021	01/01/1997	01/01/2021									
9	9	00903	OBBLIGHI DIVIETI E LIMITAZ.PER MANIF.CON VEIC.MOT	173,00	121,10	0	0		01/01/2021	01/01/1997	01/01/2021									
9	4		VEICOLI UTILIZZATI IN COMPETIZIONI NON AUTORIZZATE	1.208,00	845,60	0	0		01/01/2021	01/01/2005	01/01/2021									Verbali CA & SP
9	8	00904	COMPETIZIONI NON AUTORIZZ.A CARATTERE CICLISTICO	173,00	121,10	0	31	DIVIETO DI EFFETTUARE / CONTINUARE MANIFESTAZIONI	01/01/2021	01/01/1997	01/01/2021									
9	8	00901	COMPETIZIONI NON AUTORIZZATE DI CARATTERE ATLETICO	173,00	121,10	0	31	DIVIETO DI EFFETTUARE / CONTINUARE MANIFESTAZIONI	01/01/2021	01/01/1997	01/01/2021									
9	8	00907	COMPETIZ.NON AUTORIZZATA CON VEICOLI A MOTORE	866,00	606,20	0	31	DIVIETO DI EFFETTUARE / CONTINUARE MANIFESTAZIONI	01/01/2021	01/01/1997	01/01/2021									
9	8	00905	COMPETIZIONI NON AUTORIZZATE CON ANIMALI	173,00	121,10	0	31	DIVIETO DI EFFETTUARE / CONTINUARE MANIFESTAZIONI	01/01/2021	01/01/1997	01/01/2021									
10	3LETT.G)18	01003	TRASPORTO DI ANIMALI	794,00	N.P.	0	11	RITIRO PATENTE DI GUIDA PER SOSPENSIONE	01/01/2021	01/01/1997	01/01/2021									Verbali CA & SP
10	7LETT.A)18	01002	MEZZI D'OPERA CHE SUPERANO I LIMITI DI SAGOMA	794,00	N.P.	0	11	RITIRO PATENTE DI GUIDA PER SOSPENSIONE	01/01/2021	01/01/1997	01/01/2021									Verbali CA & SP
10	18	01009	TRASPORTO ECCEZIONALE INOSSERVANZA PRESCRIZIONI	794,00	N.P.	0	11	RITIRO PATENTE DI GUIDA PER SOSPENSIONE	01/01/2021	01/01/1997	01/01/2021									Verbali CA & SP
10	7LETT.A)18	01010	MEZZI D'OPERA CHE SUPERANO I LIMITI DI PESO	794,00	N.P.	0	11	RITIRO PATENTE DI GUIDA PER SOSPENSIONE	01/01/2021	01/01/1997	01/01/2021									Verbali CA & SP
10	7LETT.A)18	01021	MEZZI D'OPERA CHE SUPERANO I LIMITI DI SAGOMA	794,00	N.P.	0	11	RITIRO PATENTE DI GUIDA PER SOSPENSIONE	01/01/2021	01/01/1997	01/01/2021									Verbali CA & SP
10	1 E 18	01016	GUIDA VEICOLO ECCEZIONALE PER PESO	794,00	N.P.	0	11	RITIRO PATENTE DI GUIDA PER SOSPENSIONE	01/01/2021	01/01/1997	01/01/2021									Verbali CA & SP
10	22	1022	MEZZO D'OPERA CHE TRANSITA AUTOSTRADE NON PERCOR.	430,00	N.P.	0	21	RITIRO CARTA DI CIRCOLAZIONE PER SOSPENSIONE	01/01/2021	01/01/1999	01/01/2021									Verbali CA & SP
10	3LETT.B)18	01012	CARICHI SPORG.POSTER.CON SUPERAM.DI LIMITI SAGOMA	794,00	N.P.	0	11	RITIRO PATENTE DI GUIDA PER SOSPENSIONE	01/01/2021	01/01/1997	01/01/2021									Verbali CA & SP
10	3LETT.C)18	01011	CARICHI SPORG.ANTER.CON SUPERAM. DI LIMITI SAGOMA	794,00	N.P.	0	11	RITIRO PATENTE DI GUIDA PER SOSPENSIONE	01/01/2021	01/01/1997	01/01/2021									Verbali CA & SP
10	3LETT.D)18	01005	TRASPORTO DI VEICOLI ECCEZIONALI PER DIMENSIONE	794,00	N.P.	0	11	RITIRO PATENTE DI GUIDA PER SOSPENSIONE	01/01/2021	01/01/1997	01/01/2021									Verbali CA & SP
10	3LETT.E)18	01004	TRASPORTO CONTAINERS ECCEZIONALI PER DIMENSIONE	794,00	N.P.	0	11	RITIRO PATENTE DI GUIDA PER SOSPENSIONE	01/01/2021	01/01/1997	01/01/2021									Verbali CA & SP
10	2LETT.A)18	01015	TRASPORTI ECCEZIONALI PER DIMENSIONE	794,00	N.P.	0	11	RITIRO PATENTE DI GUIDA PER SOSPENSIONE	01/01/2021	01/01/1997	01/01/2021									Verbali CA & SP
10	2LETT.B)18	01014	TRASPORTO ECCEZIONALE PER PESO DI PARTIC.MATERIALI	794,00	N.P.	0	11	RITIRO PATENTE DI GUIDA PER SOSPENSIONE	01/01/2021	01/01/1997	01/01/2021									Verbali CA & SP
10	3LETT.A)18	01013	CARICHI CON SPORGENZE POSTERIORI	794,00	N.P.	0	11	RITIRO PATENTE DI GUIDA PER SOSPENSIONE	01/01/2021	01/01/1997	01/01/2021									Verbali CA & SP
10	21	01007	MEZZI D'OPERA ADIBITI AL TRASPORTO DI COSE DIVERSE	430,00	N.P.	0	21	RITIRO CARTA DI CIRCOLAZIONE PER SOSPENSIONE	01/01/2021	01/01/1999	01/01/2021									
10	20	01017	TRASPORTO ECCEZIONALE MANCATA ESIBIZIONE AUTORIZ.	42,00	29,40	0	0		01/01/2021	01/01/1997	01/01/2021									
10	19	01018	VEICOLO ECCEZIONALE INOSSERVANZA PRESCRIZIONI	159,00	N.P.	0	11	RITIRO PATENTE DI GUIDA PER SOSPENSIONE	01/01/2021	01/01/1997	01/01/2021									Verbali CA & SP
10	7LETT.C)18	01019	CONDUCEN.DI MEZZO D'OPERA NON VERIF.ESIST.LIMITAZ	794,00	N.P.	0	11	RITIRO PATENTE DI GUIDA PER SOSPENSIONE	01/01/2021	01/01/1997	01/01/2021									Verbali CA & SP
10	7LETT.B)18		MEZZI D'OPERA CHE CIRCOLANO SU STRADE VIETATE	794,00	N.P.	0	11	RITIRO PATENTE DI GUIDA PER SOSPENSIONE	01/01/2021	01/01/1997	01/01/2021									Verbali CA & SP
10	22		MEZZO D'OPERA CHE TRANSITA STRADE NON PERCORRIB.	430,00	N.P.	0	21	RITIRO CARTA DI CIRCOLAZIONE PER SOSPENSIONE	01/01/2021	01/01/1999	01/01/2021									Verbali CA & SP
15	1A) e 2	01510	CREAZIONE SITUAZIONI PERICOLO CIRCOLAZIONE		N.P.		0			14/06/2017	14/06/2017		A							Verbali CA & SP
15	1 Fbis e 3 bis 	01506	GETTARE DA VEICOLI MICRO-RIFIUTI / RIFIUTI DA FUMO	216,00	151,20		32	RIPRISTINO LUOGHI / RIMOZIONE OPERE ESEGUITE	01/01/2021	30/07/2010	01/01/2021									Verbali CA & SP
15	1LETT.I)3 	01505BIS	GETTARE OGGETTI DAI VEICOLI	52,00	36,40	0	32	RIPRISTINO LUOGHI / RIMOZIONE OPERE ESEGUITE	01/01/2021	01/01/1997	01/01/2021									Verbali CA & SP
15	1LETT.H)3	01505	SCARICO DI ACQUE	26,00	18,20	0	32	RIPRISTINO LUOGHI / RIMOZIONE OPERE ESEGUITE	01/01/2021	01/01/1997	01/01/2021									Verbali CA & SP
15	1LETT.F)3	01507	INSUDICIAMENTO CON OGGETTI DIVERSI DAI RIFIUTI	26,00	18,20	0	32	RIPRISTINO LUOGHI / RIMOZIONE OPERE ESEGUITE	01/01/2021	01/01/1997	01/01/2021									Verbali CA & SP
15	1LETT.C)3	01504	DEFLUSSO DELLE ACQUE NEI FOSSI	26,00	18,20	0	32	RIPRISTINO LUOGHI / RIMOZIONE OPERE ESEGUITE	01/01/2021	01/01/1997	01/01/2021									Verbali CA & SP
15	1LETT.G)2	01508	FANGO O DETRITI SULLA STRADA	42,00	29,40	0	32	RIPRISTINO LUOGHI / RIMOZIONE OPERE ESEGUITE	01/01/2021	01/01/1997	01/01/2021									
15	1LETT.B)2	01503	DANNEGGIAMENTO DELLA SEGNALETICA STRADALE	42,00	29,40	0	32	RIPRISTINO LUOGHI / RIMOZIONE OPERE ESEGUITE	01/01/2021	01/01/1997	01/01/2021									Verbali CA & SP
15	1LETT.A)2	01509	DANNEGGIAMENTI	42,00	29,40	0	32	RIPRISTINO LUOGHI / RIMOZIONE OPERE ESEGUITE	01/01/2021	01/01/1997	01/01/2021									Verbali CA & SP
15	1LETT.E) 3	01502	CIRCOLAZIONE DI ANIMALI SU STRADE VIETATE	26,00	18,20	0	32	RIPRISTINO LUOGHI / RIMOZIONE OPERE ESEGUITE	01/01/2021	01/01/1997	01/01/2021									Verbali CA & SP
15	1LETT.D)3	01501	DEFLUSSO DELLE ACQUE NEI TERRENI	26,00	18,20	0	32	RIPRISTINO LUOGHI / RIMOZIONE OPERE ESEGUITE	01/01/2021	01/01/1997	01/01/2021									Verbali CA & SP
16	1LETT.A)4	01605	CANALI E FOSSI LATERALI	173,00	121,10	0	32	RIPRISTINO LUOGHI / RIMOZIONE OPERE ESEGUITE	01/01/2021	01/01/1997	01/01/2021									
16	1LETT.B)4	01602	COSTRUZIONI DI MURI SULLA STRADA	173,00	121,10	0	32	RIPRISTINO LUOGHI / RIMOZIONE OPERE ESEGUITE	01/01/2021	01/01/1997	01/01/2021									Verbali CA & SP
